model,excerpt_id,firm,status,is_dag,gt_edge_count,pred_edge_count,adj_precision,adj_recall,adj_f1,ori_precision,ori_recall,ori_f1,ori_precision_full,ori_recall_full,ori_f1_full,ori_shared_skeleton_count,ori_correct_on_shared,shd_strict,shd_reversal,tp,fp,fn,tn,tp_skeleton,fp_skeleton,fn_skeleton,tn_skeleton,specificity,fdr,fpr,fnr,accuracy,balanced_accuracy,mcc,shd_strict_norm_edges,shd_strict_norm_possible,shd_reversal_norm_edges,shd_reversal_norm_possible,exact_match,skeleton_precision,skeleton_recall,skeleton_f1,skeleton_shd,sid
LLaMA 3.1 8B,bank_of_ireland_01,Bank of Ireland,ok,1,3,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,5,5,0,2,3,127,0,2,3,61,0.9845,1.0000,0.0155,1.0000,0.9621,0.4922,-0.0189,1.6667,0.0379,1.6667,0.0379,0,0.0000,0.0000,0.0000,5,6
LLaMA 3.1 8B,deutsche_bank_01,Deutsche Bank,ok,1,3,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,7,7,0,4,3,125,0,4,3,59,0.9690,1.0000,0.0310,1.0000,0.9470,0.4845,-0.0270,2.3333,0.0530,2.3333,0.0530,0,0.0000,0.0000,0.0000,7,6
LLaMA 3.1 8B,banca_mediolanum_01,Banca Mediolanum,ok,1,3,7,0.1429,0.3333,0.2000,1.0000,1.0000,1.0000,0.1429,0.3333,0.2000,1,1,8,8,1,6,2,123,1,6,2,57,0.9535,0.8571,0.0465,0.6667,0.9394,0.6434,0.1907,2.6667,0.0606,2.6667,0.0606,0,0.1429,0.3333,0.2000,8,6
LLaMA 3.1 8B,bayer_01,Bayer,ok,1,3,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,9,9,0,6,3,123,0,6,3,57,0.9535,1.0000,0.0465,1.0000,0.9318,0.4767,-0.0333,3.0000,0.0682,3.0000,0.0682,0,0.0000,0.0000,0.0000,9,6
LLaMA 3.1 8B,carlsberg_01,Carlsberg,ok,0,3,7,0.1667,0.3333,0.2222,1.0000,1.0000,1.0000,0.1429,0.3333,0.2000,1,1,8,7,1,6,2,123,1,5,2,58,0.9535,0.8571,0.0465,0.6667,0.9394,0.6434,0.1907,2.6667,0.0606,2.3333,0.0530,0,0.1667,0.3333,0.2222,7,
Qwen 3.5 9B (thinking),bank_of_ireland_01,Bank of Ireland,malformed,1,3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3,3,0,0,3,129,0,0,3,63,1.0000,0.0000,0.0000,1.0000,0.9773,0.5000,0.0000,1.0000,0.0227,1.0000,0.0227,0,0.0000,0.0000,0.0000,3,6
Qwen 3.5 9B (thinking),deutsche_bank_01,Deutsche Bank,ok,1,3,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,5,5,0,2,3,127,0,2,3,61,0.9845,1.0000,0.0155,1.0000,0.9621,0.4922,-0.0189,1.6667,0.0379,1.6667,0.0379,0,0.0000,0.0000,0.0000,5,6
Qwen 3.5 9B (thinking),banca_mediolanum_01,Banca Mediolanum,ok,1,3,4,0.5000,0.6667,0.5714,0.5000,0.5000,0.5000,0.2500,0.3333,0.2857,2,1,5,4,1,3,2,126,2,2,1,61,0.9767,0.7500,0.0233,0.6667,0.9621,0.6550,0.2696,1.6667,0.0379,1.3333,0.0303,0,0.5000,0.6667,0.5714,3,23
Qwen 3.5 9B (thinking),bayer_01,Bayer,malformed,1,3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3,3,0,0,3,129,0,0,3,63,1.0000,0.0000,0.0000,1.0000,0.9773,0.5000,0.0000,1.0000,0.0227,1.0000,0.0227,0,0.0000,0.0000,0.0000,3,6
Qwen 3.5 9B (thinking),carlsberg_01,Carlsberg,malformed,1,3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3,3,0,0,3,129,0,0,3,63,1.0000,0.0000,0.0000,1.0000,0.9773,0.5000,0.0000,1.0000,0.0227,1.0000,0.0227,0,0.0000,0.0000,0.0000,3,6
