Metric,LLaMA 3.1 8B,Gemma 4 E4B,Qwen 3.5 9B (instruct),DeepSeek-R1 8B,Qwen 3.5 9B (thinking)
Per-instance Correct,8,10,10,16,11
Per-instance Total,39,39,39,39,39
Per-instance Accuracy,0.2051,0.2564,0.2564,0.4103,0.2821
Status: ok,38,38,34,37,20
Status: malformed,0,0,0,0,16
Status: none,0,1,5,2,0
Status: not_in_ontology,1,0,0,0,2
Status: error,0,0,0,0,1
TP,5,5,5,7,6
FP,15,11,10,11,5
FN,5,5,5,3,4
TN,131,135,136,135,141
Adjacency Precision,0.3529,0.4000,0.3571,0.3889,0.6000
Adjacency Recall,0.6000,0.6000,0.5000,0.7000,0.6000
Adjacency F1,0.4444,0.4800,0.4167,0.5000,0.6000
Orientation Precision,0.2500,0.3125,0.3333,0.3889,0.5455
Orientation Recall,0.5000,0.5000,0.5000,0.7000,0.6000
Orientation F1,0.3333,0.3846,0.4000,0.5000,0.5714
SHD,19,15,15,14,9
  SHD additions,14,10,10,11,5
  SHD deletions,4,4,5,3,4
  SHD reversals,1,1,0,0,0
Skeleton SHD,15,13,14,14,8
Normalized SHD (by possible),0.1218,0.0962,0.0962,0.0897,0.0577
Normalized SHD (by GT edges),1.9000,1.5000,1.5000,1.4000,0.9000
Accuracy,0.8718,0.8974,0.9038,0.9103,0.9423
Balanced Accuracy,0.6986,0.7123,0.7158,0.8123,0.7829
MCC,0.2910,0.3428,0.3585,0.4789,0.5413
FDR,0.7500,0.6875,0.6667,0.6111,0.4545
Specificity (TNR),0.8973,0.9247,0.9315,0.9247,0.9658
FPR,0.1027,0.0753,0.0685,0.0753,0.0342
FNR,0.5000,0.5000,0.5000,0.3000,0.4000
Exact Match,0,0,0,0,0
